"","Date","LGBUSI","LGDPI","LGPRBUSI"
"1",1959-01-01,5.49144186091976,7.4474598622985,4.50923823892499
"2",1960-01-01,5.5425525963278,7.47289861895772,4.50879525115748
"3",1961-01-01,5.58982488763196,7.50615212299627,4.5120448942028
"4",1962-01-01,5.6449048072759,7.55391566831775,4.51245648170597
"5",1963-01-01,5.6901947786036,7.59039747489694,4.51285843948376
"6",1964-01-01,5.73713054485593,7.66049125095374,4.50882669916523
"7",1965-01-01,5.79113457276047,7.72015108736008,4.50443883223407
"8",1966-01-01,5.83586566288878,7.7714466007129,4.49455954029063
"9",1967-01-01,5.88017297747118,7.81435924526675,4.48926815329937
"10",1968-01-01,5.92961113782887,7.85864065562079,4.47574140560126
"11",1969-01-01,5.98199196099162,7.88934674143843,4.46450306272789
"12",1970-01-01,6.01811371999507,7.93081753057951,4.46117022263846
"13",1971-01-01,6.0614111486498,7.97518645016667,4.46484959046033
"14",1972-01-01,6.11750274826333,8.02174866968855,4.46585332121973
"15",1973-01-01,6.16671535245256,8.08711771733536,4.4545150462739
"16",1974-01-01,6.21762106487673,8.07977291206652,4.39393906931417
"17",1975-01-01,6.24640387250369,8.10246531602889,4.37697286235052
"18",1976-01-01,6.27635146362358,8.1409567339682,4.38677842388947
"19",1977-01-01,6.30087743266619,8.17551945039556,4.404689194547
"20",1978-01-01,6.34837148538395,8.2211563145817,4.40512873715872
"21",1979-01-01,6.38805806880891,8.24569937916098,4.39710082654137
"22",1980-01-01,6.41837933224368,8.2578264299445,4.38510859662611
"23",1981-01-01,6.44416661378602,8.28399930424853,4.39703161883804
"24",1982-01-01,6.44835011901732,8.30521210730814,4.42313927005929
"25",1983-01-01,6.46911833134189,8.33751613484719,4.43899661560212
"26",1984-01-01,6.51127599218286,8.41052070438912,4.45358072173572
"27",1985-01-01,6.54991587875584,8.4435897073716,4.47947903624739
"28",1986-01-01,6.57597441165909,8.47449443688312,4.51219215896031
"29",1987-01-01,6.60652632041906,8.49177281406933,4.52331580161883
"30",1988-01-01,6.63736022134466,8.53357822066556,4.5289898040607
"31",1989-01-01,6.66292267393772,8.56117179858845,4.52722128504771
"32",1990-01-01,6.68737128533384,8.58001774454947,4.52827374064382
"33",1991-01-01,6.70942165045036,8.58516954642533,4.52457989118156
"34",1992-01-01,6.72476722012502,8.61908168658069,4.52324297475685
"35",1993-01-01,6.73555006500318,8.62948562571486,4.52752010062744
"36",1994-01-01,6.76776234117959,8.65632885076059,4.53440624592305
"37",1995-01-01,6.78850093961408,8.68367326521284,4.5437781557758
"38",1996-01-01,6.80367133149766,8.71290799032119,4.55298023323904
"39",1997-01-01,6.82710649768308,8.74763802339192,4.5646105338805
"40",1998-01-01,6.8552907094459,8.80446017773169,4.5873732976285
"41",1999-01-01,6.88612279491877,8.83365220713942,4.59843476886974
"42",2000-01-01,6.91423424507985,8.88100262425557,4.60517018598809
"43",2001-01-01,6.94097354226947,8.90018089820747,4.62238746302598
"44",2002-01-01,6.96793613646739,8.93056032942026,4.64538474144803
"45",2003-01-01,6.98109818533335,8.9533556119932,4.6508001957264
